# Program:featureCounts v2.0.2; Command:"featureCounts" "-a" "../../07_annotation_final_assembly/final_assembly.gff3" "-o" "read_counts.tsv" "-t" "CDS" "-g" "ID" "-M" "-s" "0" "-T" "8" "mapped.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped.dedup.bam
OMCOBO_00341	contig_2	319864	320436	+	573	15
OMCOBO_00342	contig_2	320417	321193	-	777	27
OMCOBO_00343	contig_2	321269	321643	-	375	6
OMCOBO_00344	contig_2	321640	321990	-	351	0
OMCOBO_00345	contig_2	321987	322478	-	492	6
OMCOBO_00346	contig_2	322925	323905	+	981	9
OMCOBO_00347	contig_2	323951	325618	+	1668	54
OMCOBO_00348	contig_2	325795	327225	-	1431	19
OMCOBO_00349	contig_2	327484	328509	-	1026	61
OMCOBO_00350	contig_2	328625	329281	+	657	16
OMCOBO_00351	contig_2	329278	329481	+	204	2
OMCOBO_00352	contig_2	330805	332007	+	1203	187
OMCOBO_00353	contig_2	332189	333136	+	948	166
OMCOBO_00354	contig_2	333657	334334	-	678	4
OMCOBO_00355	contig_2	334309	335568	-	1260	2
OMCOBO_00356	contig_2	335875	336375	+	501	2
OMCOBO_00357	contig_2	336894	338423	+	1530	20
OMCOBO_00358	contig_2	338514	339290	+	777	6
OMCOBO_00359	contig_2	339782	340753	+	972	12
OMCOBO_00360	contig_2	340759	341697	+	939	6
OMCOBO_00361	contig_2	341919	343496	+	1578	6
OMCOBO_00362	contig_2	343548	344207	+	660	36
OMCOBO_00363	contig_2	344517	344927	-	411	42
OMCOBO_00364	contig_2	344959	345798	-	840	27
OMCOBO_00365	contig_2	345828	346151	-	324	3
OMCOBO_00366	contig_2	346373	347290	+	918	27
OMCOBO_00367	contig_2	347888	348100	-	213	124
OMCOBO_00368	contig_2	348275	349918	+	1644	246
OMCOBO_00369	contig_2	350021	350368	+	348	31
OMCOBO_00370	contig_2	350472	350732	+	261	4
OMCOBO_00371	contig_2	350940	351158	+	219	0
OMCOBO_00372	contig_2	351159	351404	+	246	4
OMCOBO_00373	contig_2	351456	351833	+	378	7
OMCOBO_00374	contig_2	351835	352191	+	357	3
OMCOBO_00375	contig_2	352175	352450	+	276	1
OMCOBO_00376	contig_2	352441	353730	+	1290	6
OMCOBO_00377	contig_2	353727	355631	+	1905	9
OMCOBO_00378	contig_2	355652	356113	-	462	1
OMCOBO_00379	contig_2	356264	357664	-	1401	7
OMCOBO_00380	contig_2	357911	358417	-	507	3
OMCOBO_00381	contig_2	358709	361267	-	2559	721
OMCOBO_00382	contig_2	361264	361818	-	555	47
OMCOBO_00383	contig_2	361947	362153	+	207	0
OMCOBO_00384	contig_2	362446	363483	+	1038	30
OMCOBO_00385	contig_2	363703	364638	-	936	335
OMCOBO_00386	contig_2	364858	365478	+	621	9
OMCOBO_00387	contig_2	365506	367098	-	1593	11
OMCOBO_00388	contig_2	367303	367992	-	690	2
OMCOBO_00389	contig_2	368176	368976	-	801	13
OMCOBO_00390	contig_2	369603	370265	+	663	5
OMCOBO_00391	contig_2	370281	371018	-	738	36
OMCOBO_00392	contig_2	371232	372521	+	1290	10
OMCOBO_00393	contig_2	372777	374114	+	1338	435
OMCOBO_00394	contig_2	374180	374887	+	708	81
OMCOBO_00395	contig_2	375427	375657	-	231	3
OMCOBO_00396	contig_2	376012	377367	+	1356	313
OMCOBO_00397	contig_2	377427	377900	+	474	93
OMCOBO_00398	contig_2	378914	379117	+	204	73
OMCOBO_00399	contig_2	379449	380060	+	612	8
