# Program:featureCounts v2.0.2; Command:"featureCounts" "-a" "../final_assembly.gff3" "-o" "read_counts.tsv" "-t" "CDS" "-g" "ID" "-M" "--fraction" "-s" "0" "-T" "8" "mapped.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped.sorted.bam
OMCOBO_00465	contig_2	473829	474800	+	972	105
OMCOBO_00466	contig_2	474923	475708	+	786	27
OMCOBO_00467	contig_2	475913	476275	-	363	25
OMCOBO_00468	contig_2	476488	477240	+	753	172
OMCOBO_00469	contig_2	477310	478761	+	1452	77
OMCOBO_00470	contig_2	479124	479363	+	240	38
OMCOBO_00471	contig_2	479353	480744	+	1392	52
OMCOBO_00472	contig_2	480784	481989	+	1206	12
OMCOBO_00473	contig_2	482006	482173	+	168	0
OMCOBO_00474	contig_2	482255	483178	+	924	129
OMCOBO_00475	contig_2	483217	483678	+	462	8
OMCOBO_00476	contig_2	483773	484474	-	702	26
OMCOBO_00477	contig_2	484578	485537	+	960	173
OMCOBO_00478	contig_2	485465	486181	-	717	547
OMCOBO_00479	contig_2	486328	487161	-	834	331
OMCOBO_00480	contig_2	487387	487998	-	612	259
OMCOBO_00481	contig_2	488171	489685	+	1515	708
OMCOBO_00482	contig_2	489814	490764	+	951	479
OMCOBO_00483	contig_2	491128	491751	-	624	254
OMCOBO_00484	contig_2	491824	493653	-	1830	76
OMCOBO_00485	contig_2	493943	494620	-	678	26
OMCOBO_00486	contig_2	494617	495120	-	504	120
OMCOBO_00487	contig_2	495123	496556	-	1434	654
OMCOBO_00488	contig_2	497032	497436	-	405	137
OMCOBO_00489	contig_2	497785	498882	-	1098	535
OMCOBO_00490	contig_2	499003	499608	+	606	488
OMCOBO_00491	contig_2	499866	500492	-	627	1057
OMCOBO_00492	contig_2	500717	501166	+	450	114
OMCOBO_00493	contig_2	501620	502567	-	948	72
OMCOBO_00494	contig_2	502612	503508	+	897	54
OMCOBO_00495	contig_2	503587	504519	+	933	64
OMCOBO_00496	contig_2	504701	507472	-	2772	545
OMCOBO_00497	contig_2	507707	510577	+	2871	54
OMCOBO_00498	contig_2	510647	511633	+	987	39
OMCOBO_00499	contig_2	511708	512745	+	1038	12
OMCOBO_00500	contig_2	512739	513764	+	1026	22
